from_id,from_name,to_id,to_name,relation,confidence,evidence,design_constraint
north_residential,丹枫园与劲松园,north_lake,北湖,north_of,high,2022校方地图+2024学生地图+2026学生地图,宿舍带可作为北湖北侧背景但不得与南区宿舍混用
jingyuan_services,静园与学生服务区域,north_lake,北湖,southwest_of,high,2022校方地图+2024学生地图+2026学生地图,适合用普通道路连接而非瞬时切换
teaching_library,综教行政楼与徐特立图书馆,north_lake,北湖,south_of,high,2022校方地图+2024学生地图+2026学生地图,北湖转数字系统事件时可采用章节过渡
east_residential,甘棠园东食堂与勤园,north_lake,北湖,east_of,high,2024学生地图+2026学生地图,不能把勤园误放到北湖西岸
east_canteen,东食堂,qinyuan,勤园,west_of,high,2026学生文章文字+地图,从东食堂向东接近勤园可作为真实入口
teaching_library,综教行政楼与徐特立图书馆,wencui,文萃楼群,west_of,high,2022校方地图+2024学生地图+2026学生地图,文萃必须表现为建筑群而非孤立通用楼
wencui,文萃楼群,wenti_defense,文体中心国防文化广场与体育馆,west_of,high,2022校方地图+2024学生地图+2026学生地图,进入顺序仍需地面连续路线核验
gymnasium,体育馆,defense_square,国防文化广场,adjacent,high,2025航拍+2025至2026学生夜景同框,可以构成一个连续场景包
north_cluster,北区,south_cluster,南区,separated_by_liangxiang_east_road,high,2022校方地图+2024学生地图+2026学生地图,跨区必须表现道路北理桥或明确章节转场
south_west,疏桐园运动场南食堂与博雅园,south_center,理教物理化学与工业生态区,west_of,high,2022校方地图+2024学生地图+2026学生地图,南区关卡应内部连续不能与北湖同屏硬拼
south_center,理教物理化学与工业生态区,south_east,融创信创与工训区,west_of,high,2022校方地图+2024学生地图+2026学生地图,建筑间距离可压缩但需保留组团变化
north_lake_white_bridge,北湖白桥,north_lake_pavilion,北湖亭廊,visible_together,medium_high,2023与2026同框照片,可在同一场景出现但精确入口朝向未确认
north_lake_red_bridge,北湖红桥,north_lake_skyline,北湖对岸建筑带,visible_across_water,medium_high,2026学生同框照片,只能确认视觉关系不能擅自命名对岸各楼
north_lake_white_bridge,北湖白桥,north_lake_west_pavilion,北湖西侧中式亭廊,adjacent_same_garden_group,high,2020校方改造说明+2023与2026同框照片,白桥和西侧亭廊可同屏但不能与东南岸思源榭混名
north_lake_red_bridge,北湖红桥,north_lake_white_bridge,北湖白桥,separate_structures,high,校方地图+2025北湖斜视航拍+2026红桥行走照片,红桥不是白桥延长段且尚不能证明连通两岸
north_lake_tree_island,北湖树木小岛,north_lake_animal_region,北湖南岸动物区域,separate_water_and_land_areas,high,校方平面图,不得把湖心岛画成动物围栏所在地
north_lake_animal_region,北湖南岸动物区域,xu_teli_library_zone,徐特立图书馆与校训广场区域,north_of_across_internal_road,medium_high,校方平面图+2026学生导览文字,关卡需要道路或短转场不能让图书馆贴湖岸出现
north_lake_west,北湖西侧,north_lake_red_bridge_midpoint,北湖红桥湖中段,walk_route,high,2026科技日报路线文字+红桥行走照片,可以作为已证实的短关卡入口与湖中事件段
north_lake_red_bridge_midpoint,北湖红桥湖中段,north_lake_cultural_walkway,北湖岸上文化步道,walk_route,high,2026科技日报路线文字+照片01至02,转场应从水上桥面回到岸上步道
north_lake_cultural_walkway,北湖岸上文化步道,siyuan_pavilion_zone,思源榭区域,walk_route,high,2026科技日报路线文字+照片02至04,照片证明湖岸仪式区隔水看见红桥但永久榭体外观未确认
